rank,job_title,record_count,pct_of_total,company_count,job_code_count
1,Java,591,5.9349,208,537
2,实施工程师,591,5.9349,364,534
3,技术支持工程师,591,5.9349,402,540
4,测试工程师,591,5.9349,324,533
5,科研人员,591,5.9349,337,535
6,软件测试,456,4.5792,200,411
7,C/C++,415,4.1675,198,370
8,前端开发,271,2.7214,210,243
9,硬件测试,269,2.7013,145,253
10,BD经理,147,1.4762,87,143
11,储备干部,147,1.4762,109,146
12,储备经理人,147,1.4762,107,145
13,内容审核,147,1.4762,64,146
14,售后客服,147,1.4762,115,141
15,商务专员,147,1.4762,136,142
16,大客户代表,147,1.4762,134,144
17,广告销售,147,1.4762,134,141
18,律师,147,1.4762,121,145
19,律师助理,147,1.4762,127,142
20,总助/CEO助理/董事长助理,147,1.4762,137,143
21,招聘专员/助理,147,1.4762,120,144
22,游戏运营,147,1.4762,112,144
23,猎头顾问,147,1.4762,111,143
24,电话销售,147,1.4762,116,146
25,社区运营,147,1.4762,31,141
26,管培生/储备干部,147,1.4762,128,147
27,统计员,147,1.4762,139,142
28,网络客服,147,1.4762,89,146
29,网络销售,147,1.4762,111,144
30,质检员,147,1.4762,119,144
31,运营助理/专员,147,1.4762,126,141
32,销售助理,147,1.4762,141,146
33,销售工程师,147,1.4762,136,146
34,销售运营,147,1.4762,139,147
35,项目专员/助理,147,1.4762,140,145
36,风电工程师,147,1.4762,45,145
37,质量管理/测试,141,1.4159,126,138
38,档案管理,139,1.3959,105,136
39,资料管理,139,1.3959,102,135
40,APP推广,122,1.2251,30,121
41,法务专员/助理,119,1.195,107,116
42,培训师,117,1.1749,104,114
43,英语翻译,117,1.1749,94,117
44,电话客服,112,1.1247,86,109
45,游戏推广,101,1.0143,19,98
46,咨询顾问,99,0.9942,88,98
47,知识产权/专利代理,99,0.9942,80,97
48,项目招投标,90,0.9038,84,86
49,日语翻译,86,0.8636,46,84
50,项目经理/主管,82,0.8235,76,80
51,产品专员/助理,60,0.6025,55,57
